TF,target,importance
ZNF267,ZNF184,11.823357639560447
SIN3A,CXorf56,11.81532513888978
TOB2,C16orf95,11.813155399641182
ZNF528,ANKRD54,11.79126312220482
CTBP1,PRDM2,11.787585791278488
ZNF195,ERVK3-1,11.78007508654377
FOXK1,SNCG,11.779983200541313
KDM5B,KHDC1,11.762656441890485
ARFGAP1,ATP5EP2,11.755827092861756
ING3,TMEM71,11.744700526903987
ZFP14,PECR,11.733512483203222
SPATS2,TRIM56,11.730665915138722
ZNF407,DTX3,11.728823558220899
TBP,KIAA0586,11.709871823749818
ING3,RP3-486I3.7,11.687478323456226
ZNF350,YPEL1,11.674736683848359
AGAP2,GIMAP1,11.65952200741324
NR4A1,EMCN,11.653364182153725
ZNF276,ZNF316,11.633646361683995
ZNF26,LINC00672,11.623326703739906
ZNF764,LINC01281,11.60878974635625
KDM4C,IGSF6,11.605274121516358
FANK1,KMT2B,11.6014673923837
FANK1,USP47,11.585023292847797
PBX4,LOR,11.571498391308804
HOXB2,ZDHHC7,11.570621427182171
RBBP5,HYOU1,11.560689962649782
FOSB,CD1A,11.558774693084585
DUS3L,ERCC6L2,11.557663035654139
ZNF493,ZNF717,11.551731012820763
HIST1H2BN,DISC1,11.542773128927733
ZNF626,TRERF1,11.538113537721554
CENPB,DYNC2H1,11.537720775462612
ZNF740,GNL3L,11.52448340297459
ZNF781,FAM73B,11.508248404813862
NFATC2,FAM168B,11.495332574758832
U2AF1,MPHOSPH9,11.49091912699914
E2F5,GABBR1,11.484067341665337
ZNF528,SLC35D2,11.472150058157444
ZNF600,KLRC1,11.470689768513424
EOMES,TBC1D19,11.466160967315204
NFATC2,KPNA6,11.438750284814606
HIST1H2BN,DPEP2,11.438300609930142
XRCC4,DOT1L,11.431884675937118
ELK3,BCDIN3D,11.418348393592122
PHF21A,FBLN1,11.406094059530353
FOXP4,FOLR2,11.403735066576925
ELK3,PPM1B,11.398181191393489
TCF7,WDR48,11.395433323001658
